연번,정류소아이디(ID),정류소명,경도,위도,데이터기준일자
1,41013,10호광장/GS마켓,128.0608107,35.17222494,2021-09-09
2,41010,10호광장/들말한보아파트,128.0607303,35.17363619,2021-09-09
3,41009,10호광장/한보하이타운아파트,128.0594861,35.17249791,2021-09-09
4,42022,KBS,128.070659,35.18641268,2021-09-09
5,42021,KBS,128.0702461,35.18548123,2021-09-09
6,35033,kt동진주지점,128.1171298,35.18307947,2021-09-09
7,35032,kt동진주지점,128.1174716,35.18199025,2021-09-09
8,49008,LH 10단지,128.1438407,35.16886904,2021-09-09
9,49007,LH 10단지,128.1441576,35.16896294,2021-09-09
10,49045,LH 8/LH 9단지,128.1461273,35.17048554,2021-09-09
11,49046,LH 8/LH 9단지,128.1462659,35.1703941,2021-09-09
12,49039,LH 9-10 블럭,128.1438226,35.17090059,2021-09-09
13,49040,LH 9-10 블럭,128.1440966,35.17057159,2021-09-09
14,49021,LH3/LH5단지,128.1528514,35.17950228,2021-09-09
15,49022,LH3/LH5단지,128.1530175,35.17921453,2021-09-09
16,11073,LH3단지,128.153537,35.18102344,2021-09-09
17,11060,LH3단지,128.1536625,35.1811642,2021-09-09
18,49014,LH본사/LH4단지,128.1481819,35.17804598,2021-09-09
19,49013,LH본사/LH4단지,128.1483227,35.17810773,2021-09-09
20,48008,MBC,128.1085925,35.16334508,2021-09-09
21,47018,MBC,128.1085741,35.16319879,2021-09-09
22,6048,가곡,128.2956457,35.18393739,2021-09-09
23,6061,가곡,128.2957829,35.18393367,2021-09-09
24,37001,가람초등학교/대림아파트,128.1015065,35.17484048,2021-09-09
25,37002,가람초등학교/대림아파트,128.1015221,35.17497779,2021-09-09
26,12078,가매실,128.0988022,35.25115522,2021-09-09
27,12077,가매실,128.0988874,35.2511567,2021-09-09
28,4056,가봉,128.2107096,35.12383267,2021-09-09
29,4057,가봉,128.2134571,35.12453749,2021-09-09
30,4025,가봉사거리,128.2171197,35.12517899,2021-09-09
31,4059,가봉사거리,128.2168653,35.12542784,2021-09-09
32,4024,가봉사거리,128.2171403,35.12527117,2021-09-09
